,,Calc_Instant_Wind_2m,,Calc_Instant_Wind_2m,,Calc_Instant_Wind_2m,,Calc_Instant_Wind_2m,,Calc_Instant_Wind_2m,,Calc_Instant_Wind_2m
time,status,DirAvg,status,DirMax,status,DirMin,status,SpdAvg,status,SpdMax,status,SpdMin
1/1/17 05:00:07 AM,VALID,103,VALID,124,VALID,80,VALID,2.211,VALID,3.703,VALID,1.5
1/1/17 05:02:07 AM,VALID,120,VALID,164,VALID,86,VALID,1.93,VALID,3.602,VALID,0.703
1/1/17 05:04:07 AM,VALID,132,VALID,174,VALID,103,VALID,1.305,VALID,1.898,VALID,0.797
1/1/17 05:06:07 AM,VALID,129,VALID,175,VALID,106,VALID,1,VALID,1.398,VALID,0.602
1/1/17 05:08:07 AM,VALID,181,VALID,200,VALID,164,VALID,1.07,VALID,1.602,VALID,0.797
1/1/17 05:10:07 AM,VALID,177,VALID,192,VALID,141,VALID,1.469,VALID,2.297,VALID,0.703
1/1/17 05:05:07 AM,VALID,167,VALID,187,VALID,139,VALID,1.445,VALID,2.203,VALID,0.703
1/1/17 05:14:07 AM,VALID,182,VALID,195,VALID,159,VALID,1.422,VALID,1.898,VALID,1
1/1/17 05:16:07 AM,VALID,163,VALID,184,VALID,130,VALID,1,VALID,1.602,VALID,0.398
1/1/17 05:18:07 AM,VALID,177,VALID,209,VALID,139,VALID,0.969,VALID,1.5,VALID,0.602
1/1/17 05:20:07 AM,VALID,177,VALID,209,VALID,139,VALID,0.969,VALID,1.5,VALID,0.602
